image,gt_cx,gt_cy,gt_visible,pred_cx,pred_cy,pred_visible,centroid_error_px,within_threshold
14-mp4_4800_jpg.rf.a8598098f4a625be4968012c3a2b581c,235.5,366.5,1,236.3699951171875,366.20001220703125,1,0.92,1
14-mp4_5750_jpg.rf.a7e801aa20488d63e8d8c574b6b5a800,185.0,403.5,1,185.75,403.760009765625,1,0.79,1
14-mp4_6800_jpg.rf.4ad73c51ea4c37a59cc051bff76b5869,319.0,367.5,1,-1.0,-1.0,0,-1.0,0
14-online-video-cutter_com-_mp4-11_jpg.rf.1e0cf240494044dcc2dca9d6d9e4c028,126.5,364.5,1,126.8499984741211,364.7300109863281,1,0.42,1
14-online-video-cutter_com-_mp4-31_jpg.rf.77d171d897ad2110932c64f5ce0ac466,488.5,397.0,1,489.239990234375,396.8699951171875,1,0.75,1
143_jpg.rf.dd696fb73d054a64fdd9d02e6061a2c9,343.0,442.0,1,339.5899963378906,450.7900085449219,1,9.43,1
144_jpg.rf.7c07738de33b69a99830da80f20f69ee,377.0,460.5,1,377.44000244140625,465.3999938964844,1,4.92,1
15-mp4_8400_jpg.rf.34b0540f678c3f5205856b1740eb85ef,180.5,311.5,1,182.52000427246094,311.8299865722656,1,2.04,1
156_jpg.rf.0c31c9f3c6fa8cb86ce8e48aaf79facb,437.33,640.0,1,373.4700012207031,508.8599853515625,1,145.86,0
16-mp4_5150_jpg.rf.c61d5f2f4c0514af2b3c047679a493e1,-1.0,-1.0,0,575.5599975585938,389.3500061035156,1,-1.0,0
16-online-video-cutter_com-_mp4-2_jpg.rf.ec334cc7291d63979102ea45a1d970c5,491.0,277.0,1,490.2099914550781,276.260009765625,1,1.08,1
166_jpg.rf.03a5f06de8c5f037f20e0510685a1fa1,0.0,546.13,1,127.69999694824219,423.2300109863281,1,177.24,0
17-online-video-cutter_com-_mp4-11_jpg.rf.28fea7c6b4fbe8a7c0b59c71393dc654,339.0,299.0,1,124.13999938964844,342.55999755859375,1,219.23,0
18-mp4_7450_jpg.rf.2bb3ff9b908fc0020da847d45596b7a9,297.5,348.0,1,299.8699951171875,347.3599853515625,1,2.46,1
180_jpg.rf.bff656a9c12e0f22498e431a6625921a,162.13,247.47,1,304.04998779296875,267.8800048828125,1,143.37,0
186_jpg.rf.ea567bc0fb2ec4d67d6c39e76919132e,168.53,168.53,1,288.7099914550781,227.5,1,133.87,0
18_jpg.rf.6bf9d17a26f4644afe96a2ca7ca724fc,260.27,273.07,1,360.6300048828125,290.6600036621094,1,101.9,0
1_mp4-121_jpg.rf.6207360e1c8fc55afd2a1eb8c73f08cd,239.5,285.0,1,238.0,284.7300109863281,1,1.53,1
1_mp4-131_jpg.rf.e19d2478f58765e6c5fd86d06c0ca75b,296.5,314.0,1,-1.0,-1.0,0,-1.0,0
1_mp4-252_jpg.rf.6c5e9a935c7f374f9ca42b3710d64e76,218.0,353.0,1,212.82000732421875,351.30999755859375,1,5.44,1
1_mp4-349_jpg.rf.52034e4c81d3906db65b81b44ac9f685,233.5,323.0,1,232.3800048828125,322.9200134277344,1,1.12,1
20-mp4_50_jpg.rf.969dca6c5df070953dedbc556f6bcf05,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
20_mp4-5_jpg.rf.33cb2c877374e8a27c417bd2a60566cc,222.0,243.5,1,221.58999633789062,243.60000610351562,1,0.42,1
219_jpg.rf.31117d33dcf88663954ef3f7b2d3ade4,0.0,501.33,1,131.3699951171875,334.6300048828125,1,212.25,0
223_jpg.rf.2d73aebee82cd85b0d62c542a439a10c,236.8,202.67,1,368.44000244140625,322.739990234375,1,178.18,0
22_jpg.rf.db52f4154e8098436c22ea0153773e9f,293.33,376.89,1,363.3599853515625,287.8800048828125,1,113.26,0
22_shake-mp4_7150_jpg.rf.fde5db53682846409bfad88456548176,527.0,347.0,1,235.10000610351562,286.0899963378906,1,298.18,0
23-mp4_10500_jpg.rf.d5728ecd2e53e001d91f5ebedc3072c5,-1.0,-1.0,0,261.19000244140625,316.0899963378906,1,-1.0,0
23_mp4-41_jpg.rf.043e8841442d1677d187217b3e3b090a,288.0,222.5,1,286.1700134277344,223.39999389648438,1,2.03,1
24-mp4_10850_jpg.rf.54c45ebbcc256842be05d10ea7678c51,31.0,406.5,1,377.6400146484375,411.42999267578125,1,346.67,0
24-mp4_3100_jpg.rf.26a4ef07ce73df1d947f9d6230492f0b,624.5,466.0,1,624.9600219726562,466.239990234375,1,0.52,1
248_jpg.rf.04f9fbf46f4b7b8afcf20fbf2fd94ac3,264.53,640.0,1,138.74000549316406,577.8900146484375,1,140.29,0
24_jpg.rf.a8ed09123ac5392478b28500aa14ff90,296.0,201.0,1,296.0,200.86000061035156,1,0.14,1
25_jpg.rf.d69a4237628c8b7b6daa324aa966de6b,185.6,268.8,1,293.05999755859375,284.0,1,108.53,0
268_jpg.rf.da5a5e8e5affd24854589352f493ae09,580.27,0.0,1,566.8300170898438,157.0800018310547,1,157.66,0
28_mp4-18_jpg.rf.02977368693c80cc873c20736b74f65c,254.0,220.5,1,340.8500061035156,137.99000549316406,1,119.8,0
28_mp4-5_jpg.rf.37cef4cf090e0fd8cc11e7727c3ab887,299.0,311.0,1,299.5899963378906,310.0899963378906,1,1.08,1
290_jpg.rf.a59d8dfa898a71e7ab61f3af7c2216ec,286.0,186.5,1,285.8299865722656,186.72000122070312,1,0.28,1
292_jpg.rf.a32c3842389d696defe333c2357dfb3a,286.5,188.0,1,286.75,187.94000244140625,1,0.26,1
3-124-_jpg.rf.638d8972b514a3f7ad09fa2023e1c573,253.0,323.5,1,253.14999389648438,323.739990234375,1,0.29,1
3-131-_jpg.rf.1f2ca911a3732c0b619990f684ec4879,254.0,319.5,1,254.1699981689453,319.3599853515625,1,0.22,1
3-37-_jpg.rf.2eb883a45b879a2f3dae201585c37f89,172.5,386.0,1,172.22000122070312,386.3999938964844,1,0.49,1
3-42-_jpg.rf.ea1663aa2c7b373491a8b52e985e32b8,188.5,384.5,1,188.36000061035156,384.0299987792969,1,0.49,1
3-50-_jpg.rf.36c22d126fd3cd5f655f5bf37d69cf58,201.0,398.0,1,201.0399932861328,397.54998779296875,1,0.45,1
3-54-_jpg.rf.a19f632cde8e1b9bba3ecd28c3e5366e,184.5,392.0,1,184.50999450683594,391.8500061035156,1,0.15,1
3-55-_jpg.rf.73190037a93d75826d0ee40db0059e6c,201.0,397.0,1,201.1199951171875,396.7300109863281,1,0.29,1
3-70-_jpg.rf.e74b27b65f9ce614c80bfbb986496215,218.0,369.5,1,217.88999938964844,368.8399963378906,1,0.67,1
316_jpg.rf.844c01874c8fdc1e4fe8e7811ed1c022,158.5,100.0,1,157.5800018310547,99.58000183105469,1,1.02,1
339_jpg.rf.9a8044f46fd4ceea4b1805343fa7c9bc,297.5,202.5,1,297.0899963378906,201.8800048828125,1,0.74,1
351_jpg.rf.09ca4b0506d91b50eb0c70ee4eb5780a,299.5,208.5,1,299.4100036621094,208.25999450683594,1,0.25,1
355_jpg.rf.c917d974862a2480df4cae8f80942d31,300.0,208.5,1,299.75,208.4600067138672,1,0.25,1
35_jpg.rf.b7a917baf31571fc357d01b68088fbb2,373.33,200.53,1,474.4599914550781,275.7799987792969,1,126.05,0
35_jpg.rf.d157b7393324aed87393e0137ea5cea6,300.0,207.0,1,299.8900146484375,206.85000610351562,1,0.19,1
386_jpg.rf.d5e7b4cbcb3a876cb79939e116cc84a7,304.0,192.5,1,303.8800048828125,192.3000030517578,1,0.23,1
39_jpg.rf.aafeff70921d64b8356714bda60bf214,301.0,209.0,1,301.07000732421875,209.19000244140625,1,0.21,1
4-mp4_13400_jpg.rf.b7706097677ee78f845aba4a530f941a,258.0,262.5,1,257.79998779296875,262.760009765625,1,0.33,1
4-mp4_600_jpg.rf.f0def26c7d0a22b0ad9d2861f6d784cc,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
4-online-video-cutter_com-_mp4-12_jpg.rf.510cb6d6f0a609a4efa189699394429c,40.0,347.5,1,40.599998474121094,347.8299865722656,1,0.68,1
4-online-video-cutter_com-_mp4-9_jpg.rf.8c3c28c6959694191b80b47c10b94d54,262.0,335.5,1,261.42999267578125,335.69000244140625,1,0.6,1
41_jpg.rf.0cc2d40f8b1cbf79fe86291e0ac68710,256.0,270.93,1,388.45001220703125,300.8599853515625,1,135.79,0
4_8xjPbnIq_mp4-11_jpg.rf.e74387238929dd01d1ff933bdf2177f2,213.5,329.0,1,212.22000122070312,329.1499938964844,1,1.29,1
4_jpg.rf.8b7d7f9c5c6209c0df62992a8eff8466,324.27,21.33,1,251.6199951171875,33.709999084472656,1,73.69,0
4_mp4-1124_jpg.rf.500c381c439bc72688048214f5097064,202.5,195.0,1,202.16000366210938,195.91000366210938,1,0.97,1
4_mp4-715_jpg.rf.5dc590461373772d755877223d0f50c6,211.0,356.0,1,208.6300048828125,357.94000244140625,1,3.06,1
4_mp4-769_jpg.rf.d315c14d119f2f80a21e3e9e6743a7d5,364.5,382.5,1,364.95001220703125,382.3500061035156,1,0.48,1
5-1-_mp4-97_jpg.rf.7f1d90728a2948b724b1b760282bfe5a,339.0,237.5,1,339.44000244140625,237.1699981689453,1,0.55,1
5-mp4_1000_jpg.rf.cc92fbeae269210a3505d5d695d5df4d,-1.0,-1.0,0,540.47998046875,426.3599853515625,1,-1.0,0
5-mp4_2400_jpg.rf.42e37290b6e7ded73a2ae0610e89129c,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
5-mp4_5300_jpg.rf.4ff4f26259468f105a4ec931cb5936d9,210.5,256.0,1,212.05999755859375,258.29998779296875,1,2.78,1
61_jpg.rf.79854c7e1e774571a840b24e5db617d4,307.0,211.0,1,307.6400146484375,210.3699951171875,1,0.9,1
624_jpg.rf.db75e584d75f172ca42b54fadca08074,306.0,213.0,1,-1.0,-1.0,0,-1.0,0
666_jpg.rf.2bbb79d3205160b4abb91e88146aab8a,316.5,191.0,1,315.9800109863281,191.3300018310547,1,0.62,1
725_jpg.rf.afe47b9c8bb2764a11ba2217da6fc6a5,328.0,180.0,1,-1.0,-1.0,0,-1.0,0
735_jpg.rf.1e6d58782575957207506b3b9618cfc9,329.5,180.0,1,329.7699890136719,180.35000610351562,1,0.44,1
7_diagonal_new-online-video-cutter_com-_mp4-17_jpg.rf.51d5b6b3d695c072b4897a957a20dcb9,193.0,254.0,1,-1.0,-1.0,0,-1.0,0
8-mp4_3500_jpg.rf.d0464eb1ef5aa74c2587bf249be5523c,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
83_jpg.rf.d132b542f5b899a1055cd9c7d9b10abb,313.0,198.0,1,313.1000061035156,198.1300048828125,1,0.16,1
8_jpg.rf.e180c00942ad44250fcf5858f9e71091,334.93,245.33,1,420.4800109863281,267.6600036621094,1,88.42,0
9-mp4_7000_jpg.rf.eceec7d42aff438ebab2d51d94ba85fa,243.5,318.0,1,247.52999877929688,318.2099914550781,1,4.03,1
912_jpg.rf.2b9f9e25ba7ca50c7a9b8b8ff70fb0f2,334.5,197.0,1,334.6199951171875,197.13999938964844,1,0.18,1
91_jpg.rf.a7c6a922cbe3bdfdff5efd3fb717608a,113.07,138.67,1,247.83999633789062,156.19000244140625,1,135.91,0
92_jpg.rf.9d4f7454bc08337ee4b5fd12f56da5d7,115.2,151.47,1,242.91000366210938,187.38999938964844,1,132.67,0
936_jpg.rf.840738c388f8ae3f9cd3b64a0c88c4ba,334.5,196.0,1,334.7099914550781,195.61000061035156,1,0.44,1
953_jpg.rf.d99297a0703c13bb213191ebcd0ee483,335.0,196.0,1,334.7099914550781,196.27999877929688,1,0.41,1
95_jpg.rf.59b18220834f515de6a6f46607394601,322.13,315.73,1,442.69000244140625,351.3900146484375,1,125.72,0
968_jpg.rf.ab28d047624b32fa084c66476b9bf7f0,272.5,161.5,1,272.8299865722656,161.08999633789062,1,0.53,1
996_jpg.rf.c59c04359f0aad7b532834b956bb8d13,139.0,92.5,1,138.44000244140625,92.16000366210938,1,0.65,1
9_mp4-15_jpg.rf.acc35780a634f4e4998cbf323a617e16,260.0,319.0,1,260.4200134277344,318.5899963378906,1,0.59,1
Image-192-_jpg.rf.658d58156a5f765cb76e2c929a701bcb,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image-202-_jpg.rf.681f6d91333d81625e4d7e20805bf3c5,363.05,250.46,1,361.0899963378906,249.1999969482422,1,2.33,1
Image-223-_jpg.rf.945a7cb15ca6ddade3dee7ceb4eb64eb,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image-3312-_jpg.rf.67978b98610fb76681d31e04700d7bdb,363.0,188.5,1,362.3299865722656,190.02000427246094,1,1.67,1
Image-3314-_jpg.rf.92b194fcfdf51a61421177ea6397b560,348.0,233.5,1,347.1700134277344,234.0500030517578,1,1.0,1
Image-3315-_jpg.rf.ed1dd9790d4d4132ba2bde1b5518dda0,341.0,260.5,1,340.4800109863281,261.04998779296875,1,0.76,1
Image-3328-_jpg.rf.2c043ff0eac064c35534b4ad9145918f,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image-3332-_jpg.rf.d1f2ab2e0ab407ccdc71245ba9bd0047,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image-3383-_jpg.rf.943914160ca80b4052cb5604bbbf7366,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image-3384-_jpg.rf.93c850a381569544f75b8fe6da35cec7,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image-3396-_jpg.rf.e55178b2e98c078544e8da6cfe16aca0,271.5,384.0,1,271.07000732421875,383.8399963378906,1,0.46,1
Image-3401-_jpg.rf.0ec3dc672dac7cc3302cbbe2adda4f5a,273.5,565.0,1,-1.0,-1.0,0,-1.0,0
Image-3409-_jpg.rf.b091cd35d64ddf05a8e5a4049ae1de08,-1.0,-1.0,0,379.69000244140625,218.4199981689453,1,-1.0,0
Image-362-_jpg.rf.eab6a48c5f6cca8af0927dcbd3932ecc,343.5,386.0,1,295.4800109863281,254.5399932861328,1,139.95,0
Image_132_png.rf.164450ce8ac56a78dfd3b42cbb4a473a,-1.0,-1.0,0,387.42999267578125,219.6199951171875,1,-1.0,0
Image_133_jpg.rf.21275e1317d9abf7461fe40a7120843f,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_134_jpg.rf.bfc52c87e1a1136357470020c3102560,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_136_jpg.rf.f6dd9ed91e1ec9f302f869d149742a82,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_137_jpg.rf.d558b587f13abf7f03df941e8de1ff49,-1.0,-1.0,0,281.1600036621094,209.6999969482422,1,-1.0,0
Image_155_jpg.rf.ba254b6348ae39bfa46bf281e5bbe738,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_158-1-_jpg.rf.5b6c28db3f86ca30aaab6bc8e0183170,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_15_jpg.rf.944e090ab6f86f00f195ef0d80a50433,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_163_jpeg.rf.2a38284f6572496899cfbf945af32bc5,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_16_jpg.rf.a030fe601ce3dd5bf014318cdadce570,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_173_jpg.rf.5e2e35450dbf8cda8b2e07de95f2102c,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_17_jpg.rf.8cb031b05f462ca4b3f29c543b43615a,-1.0,-1.0,0,308.2699890136719,462.9200134277344,1,-1.0,0
Image_183_jpg.rf.9a54ea38f746160afe128e0641e64f6e,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_184_jpg.rf.f0cc85cf248f0e141693b1be3825caec,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_186_jpg.rf.aee72489997bd5619fb90c1b9f7076fd,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_200_jpg.rf.ba7075e7707b45ca5747997b8427ee0b,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_203_jpg.rf.ca01c2a1c4d6ddce6542dd6ac1036d18,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_204_jpg.rf.306fbd62e10b62b220709955d372eef2,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_208_png.rf.e5a33dbdc5b8bc123b8c6744f2f0e1ef,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_20_jpg.rf.e93c926234f23f15e13e1f353b0e5870,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_222_jpg.rf.43e3eb2368433c257c3c40592fcbfd0c,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_226_jpg.rf.51cbc35b3ed557852675c05918b20d0d,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_228_jpg.rf.169f156bb6203e5e3122df8ec8de10aa,-1.0,-1.0,0,551.280029296875,486.92999267578125,1,-1.0,0
Image_229_jpg.rf.be0520e80d9850c0ecbe3d64df33dd25,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_244_jpg.rf.fe30a0a258c421a6fe379d3b5739233e,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_29_jpg.rf.a7315c6696efb143e0856c4ec37ca4c0,-1.0,-1.0,0,233.2899932861328,316.80999755859375,1,-1.0,0
Image_2_jpg.rf.fc1362fd84d2156a2fe485891680fd9c,-1.0,-1.0,0,183.3800048828125,297.6700134277344,1,-1.0,0
Image_37_jpg.rf.a4e29624e8eb8a3e9f5063d919c0458d,-1.0,-1.0,0,210.19000244140625,82.87000274658203,1,-1.0,0
Image_3_jpg.rf.85dde176d774b4217bd334b9a4da912a,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_48_jpg.rf.e7b33cb517cd7af2b7cadb8cf3cd725a,-1.0,-1.0,0,208.64999389648438,346.5199890136719,1,-1.0,0
Image_49_jpg.rf.c086a326ae5dc711227105440a569ca1,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_4_jpg.rf.7079bb0025087ca628fc479fca72a4f0,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_59_jpg.rf.738a64573b62f48223cc827f15dbf5d1,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_64_jpg.rf.7e72d7c2ed180015b32cf98a55035b19,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_65_jpg.rf.6f092f18f6ea91bd0dbcb6a7f873338b,-1.0,-1.0,0,243.6699981689453,97.79000091552734,1,-1.0,0
Image_68_jpg.rf.674d9c81a541a84bfae56b2b70d58688,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_69_jpg.rf.68dd0455340cdcefd51893c9287d5567,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_70_jpg.rf.6ca00046f1f04e04ea38dd86446c1132,-1.0,-1.0,0,305.3399963378906,311.25,1,-1.0,0
Image_7_jpg.rf.90e5c21c4171d38c32ad3453b98c882f,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_83_jpeg.rf.a0428fd4ee22648b2fc80760dc201d63,-1.0,-1.0,0,485.4100036621094,130.16000366210938,1,-1.0,0
Image_84_jpg.rf.4e8a15475bbb8f72eb2ee4b5700613fd,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_87_png.rf.1932177509dba8a0eb151a00165b8f2c,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
Image_91_jpg.rf.ab51e605ad6e32ca41bf7cae69f3cf63,277.0,560.5,1,276.6099853515625,558.2100219726562,1,2.32,1
abc-1149-_jpg.rf.8070ef51e4fbeb45a6bac206c4b3dc44,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
abc-1764-_jpg.rf.b53c9ff9a4ab441e47830e2b4736ea55,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
abc-327-_jpg.rf.9c5d9b2dba1ca53678c514d6e953be5b,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
ball-108-_jpg.rf.f5e75a4e32eb8ea87ae03980ff77d432,544.5,601.5,1,549.2100219726562,603.0499877929688,1,4.96,1
ball-126-_jpg.rf.4e0123a35747853813e776b80aa48b1d,312.0,387.5,1,313.54998779296875,383.0899963378906,1,4.68,1
ball-127-_jpg.rf.3706a1f692f52e211def14aac1bc38f0,227.5,201.5,1,211.6300048828125,210.16000366210938,1,18.08,1
ball-144-_jpg.rf.52f58e988572504cbd435ee95cdcbe2c,492.5,265.0,1,482.8500061035156,262.6499938964844,1,9.94,1
ball-179-_jpg.rf.b170adc7bd556dc2bab9827ed94e57ee,322.5,309.0,1,316.4800109863281,309.4700012207031,1,6.04,1
ball-182-_jpg.rf.d2120c5a759fa67a6e0c797344d83ea9,318.0,313.5,1,306.3500061035156,312.239990234375,1,11.72,1
ball-193-_jpg.rf.0b8b54df0a7ba97a7ceb08ceb8289e72,346.5,328.0,1,337.7900085449219,275.04998779296875,1,53.67,0
ball-218-_jpg.rf.acfaf0d2e055dee1aaf9f987e9289e87,311.0,266.5,1,333.92999267578125,261.3900146484375,1,23.49,1
ball-222-_jpg.rf.21323b492b6b55b150eade105e0b6760,411.5,362.5,1,413.42999267578125,393.760009765625,1,31.32,0
ball-223-_jpg.rf.faafdad19e56a97c2db84646ce728805,130.0,266.5,1,523.27001953125,288.6300048828125,1,393.9,0
ball-23-_jpg.rf.af737caf3080abac753914c434324082,178.5,364.5,1,195.85000610351562,375.489990234375,1,20.54,1
ball-234-_jpg.rf.9c3b111ee1c734d4508d690dd5cedc42,262.5,336.5,1,226.83999633789062,273.42999267578125,1,72.46,0
ball-248-_jpg.rf.38a6a623c82f16f23eaf0fd7b9f1d87a,407.0,192.0,1,422.9800109863281,196.3699951171875,1,16.57,1
ball-272-_jpg.rf.0b4c658fcf9e8ec254c76ff66e27d755,327.5,307.5,1,315.8599853515625,319.010009765625,1,16.37,1
ball-284-_jpg.rf.dc76ef2382ffa3ba201ea64f5db08b3d,156.0,486.5,1,133.60000610351562,478.0199890136719,1,23.95,1
ball-295-_jpg.rf.a697b133fee1128665d08f86fc79ea9a,336.0,279.0,1,335.0899963378906,306.3999938964844,1,27.42,0
ball-300-_jpg.rf.1a442ad81196d3759d904b4f57bc5510,449.0,346.5,1,448.8699951171875,351.4200134277344,1,4.92,1
ball-311-_jpg.rf.b36c8028a39577adf8452fb80f0fecad,329.0,323.5,1,324.80999755859375,311.07000732421875,1,13.11,1
ball-320-_jpg.rf.407aa80255403db68686da479c84938b,233.0,348.0,1,223.5500030517578,334.8500061035156,1,16.19,1
ball-345-_jpg.rf.07a14c9fbc6c587d8bc25c8779979db5,518.5,381.5,1,522.2899780273438,377.32000732421875,1,5.64,1
ball-364-_jpg.rf.9e4cba643859e8f3f7ff46ce4a23b041,320.0,320.0,1,236.22999572753906,245.85000610351562,1,111.87,0
ball-367-_jpg.rf.3e606df19557e2658fe1964e746f4b28,383.5,525.5,1,387.3900146484375,523.0399780273438,1,4.6,1
ball-420-_jpg.rf.67bf7ed2646300cda98d51b1ae9c23c6,315.0,286.5,1,-1.0,-1.0,0,-1.0,0
ball-45-_jpg.rf.54d2480e67e12e600d3ebe5893212a2c,437.5,136.0,1,432.260009765625,138.9499969482422,1,6.01,1
ball-475-_jpg.rf.a85fc84e98b5f27c4a7bf04deb34958b,335.5,281.0,1,315.489990234375,259.5,1,29.37,0
ball-49-_jpg.rf.86545f55e14dc1f5af38d5827f3c1f27,462.0,73.0,1,462.45001220703125,74.25,1,1.33,1
ball-56-_jpg.rf.013978ee0bd23b6e9ee860e87e785a7a,313.5,295.5,1,309.6700134277344,294.3800048828125,1,4.0,1
ball-63-_jpg.rf.7e5fd06042f886538a048a0e6905d3a5,249.5,284.0,1,-1.0,-1.0,0,-1.0,0
ball-93-_jpg.rf.7a6a94c669cb604d77349fd7460ffb08,323.0,321.5,1,319.3999938964844,316.69000244140625,1,6.01,1
bat-157-_jpg.rf.dd64f880fba1a93c430f69fa46d8d452,320.0,329.5,1,-1.0,-1.0,0,-1.0,0
bat-268-_jpg.rf.1ae616bc81f09e660b3ed22692ee89ab,438.0,356.0,1,444.6199951171875,355.2200012207031,1,6.67,1
custom-4-online-video-cutter_com-_mp4-13_jpg.rf.77d19719e5061bb3580a9f63c8729fca,290.5,371.5,1,-1.0,-1.0,0,-1.0,0
frame50_jpg.rf.f2ddf04be06878d94aa4dbabfc6b685c,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
frame57_jpg.rf.e9faebb28d0726a257bd17b553ea33b2,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
frame58_jpg.rf.f508d91fbd37a7f50ce40b0c58a78065,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
frame99_jpg.rf.fa550d0449cebd78db6cb915e1b36f7d,-1.0,-1.0,0,-1.0,-1.0,0,-1.0,0
img_21_JPG.rf.96ff009a657986be4f1de48857dd8e28,193.5,117.5,1,194.6699981689453,116.62999725341797,1,1.46,1
img_21_JPG_jpg.rf.7f99c6106252ff6a814a859099ce6b2c,194.0,117.5,1,194.27999877929688,116.80999755859375,1,0.74,1
img_21_JPG_jpg.rf.8a6948d9aae73383868efb4a12b5d607,194.0,117.5,1,194.27999877929688,116.80999755859375,1,0.74,1
